#,Column1,Electors,Margin,Margin %,No,Party,Party Category,PC Name,State,Turnout,Type,Votes,Winning Candidate
1,0,1386233,171290,16.4,1,Telangana Rashtra Samithi,Other,Adilabad,Telangana,75.4,ST,1045839,Godam Nagesh
2,1,1814739,300263,28.1,18,Bharatiya Janta Party,BJP,Agra,Uttar Pradesh,59,SC,1070400,Dr. Ram Shankar Katheria
3,2,1699408,209122,19.7,37,Bharatiya Janta Party,BJP,Ahmadnagar,Maharashtra,62.5,GEN,1062318,Gandhi Dilipkumar Mansukhlal
4,3,1601832,326633,33.1,7,Bharatiya Janta Party,BJP,Ahmedabad East,Gujarat,61.5,GEN,985525,Paresh Rawal
5,4,1534400,320311,33.2,8,Bharatiya Janta Party,BJP,Ahmedabad West,Gujarat,62.9,SC,964609,Dr. Kirit P Solanki
6,5,1683292,171983,14.9,13,Bharatiya Janta Party,BJP,Ajmer,Rajasthan,68.7,GEN,1156314,Sanwar Lal Jat
7,6,1768623,278997,28.7,44,Bharatiya Janta Party,BJP,Akbarpur,Uttar Pradesh,54.9,GEN,971375,Devendra Singh @ Bhole Singh
8,7,1646463,203116,20.8,6,Bharatiya Janta Party,BJP,Akola,Maharashtra,59.4,GEN,978491,Dhotre Sanjay Shamrao
9,8,1271324,19407,1.9,15,Indian National Congress,INC,Alappuzha,Kerala,78.5,GEN,997464,K C Venugopal
10,9,1216351,37312,4,9,Communist Party Of India (Marxist),Other,Alathur,Kerala,76.2,SC,927228,P.K.Biju
11,10,1793126,286736,26.9,15,Bharatiya Janta Party,BJP,Aligarh,Uttar Pradesh,59.4,GEN,1064357,Satish Kumar
12,11,1470911,21397,1.7,2,All India Trinamool Congress,Other,Alipurduars,West Bengal,83.2,ST,1223566,Dasrath Tirkey
13,12,1666569,62009,7,52,Bharatiya Janta Party,BJP,Allahabad,Uttar Pradesh,53.5,GEN,891582,Shyama Charan Gupta
14,13,1254328,95690,14.6,3,Bharatiya Janta Party,BJP,Almora,Uttarakhand,52.3,SC,656525,Ajay Tamta
15,14,1628067,283895,26.7,8,Bharatiya Janta Party,BJP,Alwar,Rajasthan,65.3,GEN,1062305,Chand Nath
16,15,1357866,120576,10.8,1,Telugu Desam,Other,Amalapuram,Andhra Pradesh,82.6,SC,1120927,Dr Pandula Ravindra Babu
17,16,1692227,340074,27.9,1,Bharatiya Janta Party,BJP,Ambala,Haryana,72,SC,1218995,Rattan Lal Kataria
18,17,1718774,139429,13.5,55,Bharatiya Janta Party,BJP,Ambedkar Nagar,Uttar Pradesh,60.2,GEN,1034404,Hari Om Pandey
19,18,1669843,107903,12.3,37,Indian National Congress,INC,Amethi,Uttar Pradesh,52.4,GEN,874625,Rahul Gandhi
20,19,1611365,137932,13.7,7,Shiv Sena,Other,Amravati,Maharashtra,62.3,SC,1004061,Adsul Anandrao Vithoba
21,20,1486286,156232,19.3,14,Bharatiya Janta Party,BJP,Amreli,Gujarat,54.4,GEN,808816,Kachhadiya Naranbhai Bhikhabhai
22,21,1477262,102770,10.2,2,Indian National Congress,INC,Amritsar,Punjab,68.2,GEN,1007196,Captain Amarinder Singh
23,22,1544242,158214,14.4,9,Bharatiya Janta Party,BJP,Amroha,Uttar Pradesh,71,GEN,1095860,Kanwar Singh Tanwar
24,23,1401474,47932,4.2,2,Telugu Desam,Other,Anakapalli,Andhra Pradesh,81.9,GEN,1148072,Muttamsetti Srinivasa Rao (AVANTHI)
25,24,1496859,63426,6.5,16,Bharatiya Janta Party,BJP,Anand,Gujarat,64.9,GEN,970894,Dilip Patel
26,25,1564721,23697,2.2,6,Shiromani Akali Dal,Other,Anandpur Sahib,Punjab,69.4,GEN,1086563,Prem Singh Chandumajra
27,26,1536912,61269,5.1,3,Telugu Desam,Other,Anantapur,Andhra Pradesh,78.4,GEN,1205054,J.C. Divakar Reddi
28,27,1301023,65417,17.4,3,Jammu & Kashmir Peoples Democratic Party,Other,Anantnag,Jammu & Kashmir,28.8,GEN,375279,Mehbooba Mufti
29,28,269360,7812,4.1,1,Bharatiya Janta Party,BJP,Andaman And Nicobar Islands,Andaman & Nicobar,70.7,GEN,190328,Bishnu Pada Ray
30,29,1653577,138429,13.9,24,Bharatiya Janta Party,BJP,Aonla,Uttar Pradesh,60.2,GEN,995641,Dharmendra Kumar
31,30,1401545,240766,22.1,7,All India Anna Dravida Munnetra Kazhagam,Other,Arakkonam,Tamil Nadu,77.7,GEN,1089052,"Hari, G."
32,31,1600293,346845,25.5,29,All India Trinamool Congress,Other,Arambagh,West Bengal,85.1,SC,1361934,Aparupa Poddar (AFRIN ALI)
