#,Column1,Electors,Margin,Margin %,No,Party,Party Category,PC Name,State,Turnout,Type,Votes,Winning Candidate
33,32,1369668,243844,22.2,12,All India Anna Dravida Munnetra Kazhagam,Other,Arani,Tamil Nadu,80,GEN,1096046,V.Elumalai
34,33,1587348,146504,15,9,Rashtriya Janata Dal,Other,Araria,Bihar,61.5,GEN,975811,Tasleem Uddin
35,34,1832332,135870,15.2,32,Bharatiya Janta Party,BJP,Arrah,Bihar,48.8,GEN,893213,Raj Kumar Singh
36,35,1272724,91398,10,4,Yuvajana Sramika Rythu Congress Party,Other,Aruku,Andhra Pradesh,71.5,ST,909614,Kothapalli Geetha
37,36,312872,12478,4.8,2,Indian National Congress,INC,Arunachal East,Arunachal Pradesh,83.5,GEN,261291,Ninong Ering
38,37,446515,41738,12.4,1,Bharatiya Janta Party,BJP,Arunachal West,Arunachal Pradesh,75.2,GEN,335665,Kiren Rijiju
39,38,1469684,70480,6.2,40,Bharatiya Janta Party,BJP,Asansol,West Bengal,77.7,GEN,1142395,Babul Supriya Baral (BABUL SUPRIYO)
40,39,1408780,311997,34.8,19,Biju Janata Dal,Other,Aska,Orissa,63.6,GEN,896281,Ladu Kishore Swain
41,40,1251398,69378,8.1,19,Communist Party Of India (Marxist),Other,Attingal,Kerala,68.7,GEN,859350,Dr.A .Sampath
42,41,1589393,162000,16.5,19,Shiv Sena,Other,Aurangabad,Maharashtra,61.8,GEN,982933,Chandrakant Bhaurao Khaire
43,42,1536153,66347,8.4,37,Bharatiya Janta Party,BJP,Aurangabad,Bihar,51.2,GEN,786274,Sushil Kumar Singh
44,43,701890,24095,4.4,3,Indian National Congress,INC,Autonomous District,Assam,77.4,ST,543280,Biren Singh Engti
45,44,1703222,63204,6.6,69,Samajwadi Party,Other,Azamgarh,Uttar Pradesh,56.4,GEN,960218,Mulayam Singh Yadav
46,45,1769145,166347,16.2,23,Samajwadi Party,Other,Badaun,Uttar Pradesh,58.1,GEN,1027594,Dharmendra Yadav
47,46,1568620,116560,10.8,3,Bharatiya Janta Party,BJP,Bagalkot,Karnataka,68.8,GEN,1079310,Gaddigoudar Parvtagouda Chandanagouda
48,47,1505175,209866,20.9,11,Bharatiya Janta Party,BJP,Baghpat,Uttar Pradesh,66.7,GEN,1004263,Dr. Satya Pal Singh
49,48,1453783,356567,30.9,10,Indian National Congress,INC,Baharampur,West Bengal,79.4,GEN,1154587,Adhir Ranjan Chowdhury
50,49,1638645,95645,10.2,56,Bharatiya Janta Party,BJP,Bahraich,Uttar Pradesh,57,SC,934263,Sadhvi Savitri Bai Foole
51,50,1629769,96041,8.6,15,Bharatiya Janta Party,BJP,Balaghat,Madhya Pradesh,68.3,GEN,1113364,Bodhsingh Bhagat
52,51,1366218,141825,13.5,6,Biju Janata Dal,Other,Balasore,Orissa,76.8,GEN,1049450,Rabindra Kumar Jena
53,52,1768271,139434,14.8,72,Bharatiya Janta Party,BJP,Ballia,Uttar Pradesh,53.3,GEN,942211,Bharat Singh
54,53,1254497,106964,10.1,6,All India Trinamool Congress,Other,Balurghat,West Bengal,84.7,GEN,1063053,Arpita Ghosh
55,54,1515711,202334,22.8,2,Bharatiya Janta Party,BJP,Banaskantha,Gujarat,58.5,GEN,886634,Chaudhary Haribhai Parthibhai
56,55,1601917,115788,13.5,48,Bharatiya Janta Party,BJP,Banda,Uttar Pradesh,53.6,GEN,858326,Bhairon Prasad Mishra
57,56,1931663,137500,12.8,25,Bharatiya Janta Party,BJP,Bangalore Central,Karnataka,55.6,GEN,1074589,P.C. Mohan
58,57,2401472,229764,16.9,24,Bharatiya Janta Party,BJP,Bangalore North,Karnataka,56.5,GEN,1356718,D.V Sadananda Gowda
59,58,2190397,231480,15.9,23,Indian National Congress,INC,Bangalore Rural,Karnataka,66.4,GEN,1455244,D K Suresh
60,59,1999882,228575,20.5,26,Bharatiya Janta Party,BJP,Bangalore South,Karnataka,55.7,GEN,1113726,Ananth Kumar
61,60,1540713,146601,11.4,14,All India Trinamool Congress,Other,Bangaon,West Bengal,83.3,SC,1283688,Kapil Krishna Thakur
62,61,1549456,10144,1.1,27,Rashtriya Janata Dal,Other,Banka,Bihar,58,GEN,899353,Jai Prakash Narayan Yadav
63,62,1503812,98506,8,36,All India Trinamool Congress,Other,Bankura,West Bengal,82.2,GEN,1236319,Sreemati Dev Varma (MOON MOON SEN)
64,63,1760110,189516,21.6,67,Bharatiya Janta Party,BJP,Bansgaon,Uttar Pradesh,49.9,SC,877877,Kamlesh Paswan
65,64,1692502,91916,7.8,20,Bharatiya Janta Party,BJP,Banswara,Rajasthan,69.2,ST,1171188,Manshankar Ninama
66,65,1392965,32754,2.8,5,Telugu Desam,Other,Bapatla,Andhra Pradesh,85,SC,1184634,Malyadri Sriram
67,66,1721282,211878,19.8,53,Bharatiya Janta Party,BJP,Bara Banki,Uttar Pradesh,62.1,SC,1068168,Priyanka Singh Rawat
68,67,1813543,69719,6.5,35,Nationalist Congress Party,Other,Baramati,Maharashtra,58.8,GEN,1066556,Supriya Sule
69,68,1190745,29219,6.3,1,Jammu & Kashmir Peoples Democratic Party,Other,Baramulla,Jammu & Kashmir,39.1,GEN,465992,Muzaffar Hussain Baig
70,69,1512792,173141,13.6,17,All India Trinamool Congress,Other,Barasat,West Bengal,83.9,GEN,1269331,Dr. Kakali Ghoshdostidar
71,70,1532244,114479,8.7,38,All India Trinamool Congress,Other,Bardhaman Purba,West Bengal,86.2,SC,1320922,Sunil Kumar Mondal
72,71,1614106,123884,10.3,23,Bharatiya Janta Party,BJP,Bardoli,Gujarat,74.7,ST,1206179,Vasava Parbhubhai Nagarbhai
73,72,1664081,240685,23.6,25,Bharatiya Janta Party,BJP,Bareilly,Uttar Pradesh,61.2,GEN,1017891,Santosh Kumar Gangwar
74,73,1430717,11178,1,1,Biju Janata Dal,Other,Bargarh,Orissa,78.5,GEN,1123301,Prabhas Kumar Singh
75,74,1677582,87461,7.2,17,Bharatiya Janta Party,BJP,Barmer,Rajasthan,72.7,GEN,1219119,Col. Sona Ram
76,75,1430175,42341,3.5,6,All India United Democratic Front,Other,Barpeta,Assam,84.3,GEN,1205863,Siraj Uddin Ajmal
77,76,1287222,206773,19.7,15,All India Trinamool Congress,Other,Barrackpore,West Bengal,81.7,GEN,1051130,Dinesh Trivedi
78,77,1490596,109659,8.6,18,All India Trinamool Congress,Other,Basirhat,West Bengal,85.5,GEN,1273771,Idris Ali
79,78,1298059,124359,16.2,10,Bharatiya Janta Party,BJP,Bastar,Chhattisgarh,59.3,ST,769913,Dinesh Kashyap
80,79,1847613,33562,3.2,61,Bharatiya Janta Party,BJP,Basti,Uttar Pradesh,56.8,GEN,1048534,Harish Chandra Alias Harish Dwivedi
81,80,1792650,136454,11.1,39,Bharatiya Janta Party,BJP,Beed,Maharashtra,68.7,GEN,1232202,Munde Gopinathrao Pandurang
82,81,1778759,58335,5.4,24,Bharatiya Janta Party,BJP,Begusarai,Bihar,60.6,GEN,1077855,Bhola Singh
83,82,1581017,75860,7,2,Bharatiya Janta Party,BJP,Belgaum,Karnataka,68.2,GEN,1078547,Angadi Suresh Channabasappa
84,83,1487945,85144,8.1,9,Bharatiya Janta Party,BJP,Bellary,Karnataka,70.3,ST,1045772,B. Sreeramulu
85,84,1334268,127720,14.1,20,Biju Janata Dal,Other,Berhampur,Orissa,67.9,GEN,905362,Sidhant Mohapatra
86,85,1607822,328614,31.4,29,Bharatiya Janta Party,BJP,Betul,Madhya Pradesh,65.2,ST,1047719,Jyoti Dhurve
87,86,1834598,158039,16.1,78,Bharatiya Janta Party,BJP,Bhadohi,Uttar Pradesh,53.5,GEN,981552,Virendra Singh
88,87,1469498,179359,16.6,7,Biju Janata Dal,Other,Bhadrak,Orissa,73.6,SC,1081339,Arjun Charan Sethi
89,88,1685339,9485,1,26,Rashtriya Janata Dal,Other,Bhagalpur,Bihar,57.8,GEN,974016,Shailesh Kumar Urph Bulo Mandal
90,89,1656284,149254,12.5,11,Bharatiya Janta Party,BJP,Bhandara - Gondiya,Maharashtra,72.3,GEN,1197196,Nanabhau Falgunrao Patole
91,90,1686897,245468,25.5,9,Bharatiya Janta Party,BJP,Bharatpur,Rajasthan,57.1,SC,962432,Bahadur Singh
92,91,1417548,153273,14.5,22,Bharatiya Janta Party,BJP,Bharuch,Gujarat,74.8,GEN,1060211,Vasava Mansukhbhai Dhanjibhai
93,92,1525289,19395,1.6,11,Shiromani Akali Dal,Other,Bhatinda,Punjab,77.2,GEN,1176767,Harsimrat Kaur Badal
94,93,1594531,295488,32.2,15,Bharatiya Janta Party,BJP,Bhavnagar,Gujarat,57.5,GEN,917402,Dr. Bharatiben Dhirubhai Shiyal
95,94,1754877,246264,22.3,23,Bharatiya Janta Party,BJP,Bhilwara,Rajasthan,62.9,GEN,1104090,Subhash Baheria
96,95,1598169,159961,21.9,2,Bharatiya Janta Party,BJP,Bhind,Madhya Pradesh,45.6,SC,729084,Dr. Bhagirath Prasad
97,96,1696589,109450,12.5,23,Bharatiya Janta Party,BJP,Bhiwandi,Maharashtra,51.6,GEN,875605,Kapil Moreshwar Patil
98,97,1473912,129394,12.6,8,Bharatiya Janta Party,BJP,Bhiwani-Mahendragarh,Haryana,69.9,GEN,1030431,Dharambir S/o Bhale Ram
99,98,1492251,30494,2.5,14,Telangana Rashtra Samithi,Other,Bhongir,Telangana,81.2,GEN,1211943,Dr. Boora Narsaiah Goud
100,99,1956936,370696,32.8,19,Bharatiya Janta Party,BJP,Bhopal,Madhya Pradesh,57.8,GEN,1130182,Alok Sanjar
101,100,1527768,189477,21.2,18,Biju Janata Dal,Other,Bhubaneswar,Orissa,58.4,GEN,891822,Prasanna Kumar Patasani
102,101,1600962,92222,9.6,7,Bharatiya Janta Party,BJP,Bidar,Karnataka,59.9,GEN,959384,Bhagwanth Khuba
103,102,1622635,69819,7.2,4,Bharatiya Janta Party,BJP,Bijapur,Karnataka,59.6,SC,966757,Ramesh Jigajinagi
104,103,1562065,205774,19.4,4,Bharatiya Janta Party,BJP,Bijnor,Uttar Pradesh,67.9,GEN,1060346,Kunwar Bhartendra
105,104,1591068,308079,33.1,2,Bharatiya Janta Party,BJP,Bikaner,Rajasthan,58.4,SC,929751,Arjun Ram Meghwal
106,105,1727325,176436,16.2,5,Bharatiya Janta Party,BJP,Bilaspur,Chhattisgarh,63.1,GEN,1090457,Lakhan Lal Sahu
107,106,1495108,67263,5.3,42,All India Trinamool Congress,Other,Birbhum,West Bengal,85.3,GEN,1275819,Satabdi Roy
108,107,1466921,149685,11.8,37,All India Trinamool Congress,Other,Bishnupur,West Bengal,86.7,SC,1272070,Khan Saumitra
109,108,1563025,104299,8.9,10,Biju Janata Dal,Other,Bolangir,Orissa,74.9,GEN,1170405,Kalikesh Narayan Singh Deo
110,109,1538429,236112,18.1,41,All India Trinamool Congress,Other,Bolpur,West Bengal,84.8,SC,1304756,Anupam Hazra
111,110,1736447,421973,41.8,14,Bharatiya Janta Party,BJP,Bulandshahr,Uttar Pradesh,58.2,SC,1009710,Bhola Singh
112,111,1596234,159579,16.3,5,Shiv Sena,Other,Buldhana,Maharashtra,61.3,GEN,978626,Jadhav Prataprao Ganpatrao
113,112,1583498,107331,8.1,39,All India Trinamool Congress,Other,Burdwan - Durgapur,West Bengal,84.1,GEN,1331242,Dr. Mamtaz Sanghamita
114,113,1640567,132338,14.9,33,Bharatiya Janta Party,BJP,Buxar,Bihar,54.1,GEN,888204,Ashwini Kumar Choubey
115,114,1150491,13884,1.6,11,Independent,Other,Chalakudy,Kerala,76.8,GEN,884033,Innocent
116,115,1555779,141182,12.5,22,Indian National Congress,INC,Chamarajanagar,Karnataka,72.8,SC,1133029,R. Dhruvanarayana
117,116,1669140,156756,16,76,Bharatiya Janta Party,BJP,Chandauli,Uttar Pradesh,58.8,GEN,980572,Dr Mahendra Nath Pandey
118,117,615214,69642,15.4,1,Bharatiya Janta Party,BJP,Chandigarh,Chandigarh,73.7,GEN,453455,Kher Kirron Anupam
119,118,1447228,136320,13.9,1,Bharatiya Janta Party,BJP,Chandni Chowk,Delhi,67.8,GEN,981863,Dr. Harsh Vardhan
120,119,1753690,236269,21.3,13,Bharatiya Janta Party,BJP,Chandrapur,Maharashtra,63.3,GEN,1109743,Ahir Hansraj Gangaram
121,120,1312545,178026,25,4,Bharatiya Janta Party,BJP,Chatra,Jharkhand,54.3,GEN,712971,Sunil Kumar Singh
122,121,2185179,73023,5.5,10,Telangana Rashtra Samithi,Other,Chelvella,Telangana,60.2,GEN,1315862,Konda Vishweshwar Reddy
123,122,1328027,45841,5.6,4,All India Anna Dravida Munnetra Kazhagam,Other,Chennai Central,Tamil Nadu,61.4,GEN,814894,S.R. Vijayakumar
124,123,1422386,99704,11,2,All India Anna Dravida Munnetra Kazhagam,Other,Chennai North,Tamil Nadu,64,GEN,910114,Venkatesh Babu .T.G
125,124,1795780,136625,12.6,3,All India Anna Dravida Munnetra Kazhagam,Other,Chennai South,Tamil Nadu,60.2,GEN,1081163,Dr. J. Jayavardhan
126,125,1401277,116537,10.5,16,Indian National Congress,INC,Chhindwara,Madhya Pradesh,79,GEN,1107498,Kamal Nath
127,126,1536305,179729,16.3,21,Bharatiya Janta Party,BJP,Chhota Udaipur,Gujarat,71.6,ST,1100542,Ramsinh Rathwa
128,127,1366189,128495,11.8,27,All India Anna Dravida Munnetra Kazhagam,Other,Chidambaram,Tamil Nadu,79.7,SC,1088423,"Chandrakasi, M"
129,128,1658342,9520,0.8,27,Indian National Congress,INC,Chikballapur,Karnataka,76.2,GEN,1263274,M Veerappa Moily
130,129,1442296,3003,0.3,1,Indian National Congress,INC,Chikkodi,Karnataka,74.3,GEN,1071103,Prakash Babanna Hukkeri
131,130,1661272,101291,9.2,18,Indian National Congress,INC,Chitradurga,Karnataka,66,SC,1096499,B.N.Chandrappa
132,131,1452141,44138,3.7,6,Telugu Desam,Other,Chittoor,Andhra Pradesh,82.6,SC,1198915,Naramalli Sivaprasad
133,132,1818147,316857,27,21,Bharatiya Janta Party,BJP,Chittorgarh,Rajasthan,64.5,GEN,1172629,Chandra Prakash Joshi
134,133,1753825,294739,26.1,3,Bharatiya Janta Party,BJP,Churu,Rajasthan,64.5,GEN,1131104,Rahul Kaswan
135,134,1720211,42016,3.6,20,All India Anna Dravida Munnetra Kazhagam,Other,Coimbatore,Tamil Nadu,68.4,GEN,1176620,"Nagarajan, P."
136,135,1613417,87107,6.5,1,All India Trinamool Congress,Other,Cooch Behar,West Bengal,82.6,SC,1332409,Renuka Sinha
137,136,1247908,203125,20.6,26,All India Anna Dravida Munnetra Kazhagam,Other,Cuddalore,Tamil Nadu,78.9,GEN,984538,Arunmozhithevan.A
138,137,1371617,306762,31.3,14,Biju Janata Dal,Other,Cuttack,Orissa,71.4,GEN,978604,Bhartruhari Mahatab
139,138,196617,6214,3.8,1,Bharatiya Janta Party,BJP,Dadra And Nagar Haveli,Dadra & Nagar Haveli,84.1,GEN,165286,Patel Natubhai Gomanbhai
140,139,1411765,230354,25.6,19,Bharatiya Janta Party,BJP,Dahod,Gujarat,63.8,ST,900381,Jasvantsinh Sumanbhai Bhabhor
141,140,1565281,143709,11.9,17,Bharatiya Janta Party,BJP,Dakshina Kannada,Karnataka,77.1,GEN,1207474,Nalin Kumar Kateel
142,141,111827,9222,10.6,1,Bharatiya Janta Party,BJP,Daman And Diu,Daman & Diu,78,GEN,87233,Patel Lalubhai Babubhai
143,142,1651106,213299,23.4,7,Bharatiya Janta Party,BJP,Damoh,Madhya Pradesh,55.2,GEN,912080,Prahalad Singh Patel
144,143,1495446,35043,4.2,14,Bharatiya Janta Party,BJP,Darbhanga,Bihar,55.4,GEN,828342,Kirti Azad
145,144,1437126,197239,17.3,4,Bharatiya Janta Party,BJP,Darjeeling,West Bengal,79.5,GEN,1142009,S.S.Ahluwalia
146,145,1524095,45404,4.9,11,Bharatiya Janta Party,BJP,Dausa,Rajasthan,61.1,ST,930492,Harish Chandra Meena
147,146,1522712,17607,1.6,13,Bharatiya Janta Party,BJP,Davanagere,Karnataka,73.2,GEN,1114868,G M Siddeshwara
148,147,1806926,265386,27.3,66,Bharatiya Janta Party,BJP,Deoria,Uttar Pradesh,53.8,GEN,971557,Kalraj Mishra
149,148,1617215,260313,22.8,21,Bharatiya Janta Party,BJP,Dewas,Madhya Pradesh,70.7,SC,1143968,Manohar Untwal
150,149,1889994,292954,25.6,7,Bharatiya Janta Party,BJP,Dhanbad,Jharkhand,60.5,GEN,1143902,Pashupati Nath Singh
151,150,1668441,104328,9.7,25,Bharatiya Janta Party,BJP,Dhar,Madhya Pradesh,64.5,ST,1076816,Savitri Thakur
152,151,1358273,77146,7,10,Pattali Makkal Katchi,Other,Dharmapuri,Tamil Nadu,81.1,GEN,1101345,Anbumani Ramadoss
153,152,1579024,113657,10.9,11,Bharatiya Janta Party,BJP,Dharwad,Karnataka,65.9,GEN,1041226,Pralhad Joshi
154,153,1558039,125675,11.9,29,Bharatiya Janta Party,BJP,Dhaurahra,Uttar Pradesh,68.1,GEN,1060271,Rekha
155,154,1363467,137340,13.2,9,Biju Janata Dal,Other,Dhenkanal,Orissa,76.4,GEN,1042101,Tathagata Satpathy
156,155,1552554,229730,16.8,4,All India United Democratic Front,Other,Dhubri,Assam,88.2,GEN,1369624,Badruddin Ajmal
157,156,1674469,130723,13.3,2,Bharatiya Janta Party,BJP,Dhule,Maharashtra,58.7,GEN,983083,Dr. Bhamre Subhash Ramrao
158,157,1555914,71298,5.7,21,All India Trinamool Congress,Other,Diamond Harbour,West Bengal,81.1,GEN,1261296,Abhishek Banerjee
159,158,1124305,185347,20.8,13,Bharatiya Janta Party,BJP,Dibrugarh,Assam,79.3,GEN,890968,Rameswar Teli
160,159,1400531,127845,11.8,22,All India Anna Dravida Munnetra Kazhagam,Other,Dindigul,Tamil Nadu,77.4,GEN,1083364,Udhaya Kumar .M
161,160,1530139,247619,25.5,20,Bharatiya Janta Party,BJP,Dindori,Maharashtra,63.4,ST,970182,Chavan Harishchandra Deoram
162,161,1761415,103588,11.1,60,Bharatiya Janta Party,BJP,Domariyaganj,Uttar Pradesh,53.1,GEN,935027,Jagdambika Pal
163,162,1405981,154934,13.7,16,All India Trinamool Congress,Other,Dum Dum,West Bengal,80.6,GEN,1132644,Saugata Roy
164,163,1247155,39030,4.3,2,Jharkhand Mukti Morcha,Other,Dumka,Jharkhand,72.4,ST,903060,Shibu Soren
165,164,1855781,16848,1.3,7,Indian National Congress,INC,Durg,Chhattisgarh,67.8,GEN,1258342,Tamradhwaj Sahu
166,165,1829578,190463,15.9,3,Bharatiya Janta Party,BJP,East Delhi,Delhi,65.4,GEN,1196336,Maheish Girri
167,166,1427760,101926,8.5,7,Telugu Desam,Other,Eluru,Andhra Pradesh,84.2,GEN,1201696,Maganti Venkateswara Rao (BABU)
168,167,1156467,87047,10.2,12,Indian National Congress,INC,Ernakulam,Kerala,73.6,GEN,850834,Prof. K.V. Thomas
169,168,1321395,211563,21,17,All India Anna Dravida Munnetra Kazhagam,Other,Erode,Tamil Nadu,76.3,GEN,1008582,Selvakumara Chinnayan S
170,169,1577457,201001,21.7,22,Bharatiya Janta Party,BJP,Etah,Uttar Pradesh,58.7,GEN,926281,Rajveer Singh (RAJU BHAIYA)
171,170,1707237,172946,18.4,41,Bharatiya Janta Party,BJP,Etawah,Uttar Pradesh,55,SC,939604,Ashok Kumar Doharey
172,171,1738701,282775,27.6,54,Bharatiya Janta Party,BJP,Faizabad,Uttar Pradesh,58.8,GEN,1022716,Lallu Singh
173,172,1740352,466873,41.3,10,Bharatiya Janta Party,BJP,Faridabad,Haryana,65,GEN,1130726,Krishan Pal
174,173,1455075,172516,16.7,9,Aam Aadmi Party,Other,Faridkot,Punjab,70.9,SC,1032107,Prof. Sadhu Singh
175,174,1613781,150502,15.5,40,Bharatiya Janta Party,BJP,Farrukhabad,Uttar Pradesh,60.2,GEN,970677,Mukesh Rajput
176,175,1396957,54144,5.3,8,Aam Aadmi Party,Other,Fatehgarh Sahib,Punjab,73.8,SC,1030954,Harinder Singh Khalsa
177,176,1804777,187206,17.7,49,Bharatiya Janta Party,BJP,Fatehpur,Uttar Pradesh,58.6,GEN,1056688,Niranjan Jyoti
178,177,1580582,173106,17.9,19,Bharatiya Janta Party,BJP,Fatehpur Sikri,Uttar Pradesh,61.2,GEN,967968,Babulal
179,178,1522111,31420,2.8,10,Shiromani Akali Dal,Other,Ferozpur,Punjab,72.6,GEN,1105412,Sher Singh Ghubaya
180,179,1636738,114059,10.3,20,Samajwadi Party,Other,Firozabad,Uttar Pradesh,67.5,GEN,1104606,Akshay Yadav
181,180,1469767,236870,23.1,12,Bharatiya Janta Party,BJP,Gadchiroli-Chimur,Maharashtra,69.9,ST,1027129,Ashok Mahadeorao Nete
182,181,1733972,483121,42.5,6,Bharatiya Janta Party,BJP,Gandhinagar,Gujarat,65.5,GEN,1135495,L.K.Advani
183,182,1718421,291741,23.2,1,Bharatiya Janta Party,BJP,Ganganagar,Rajasthan,73.1,SC,1256806,Nihalchand
184,183,1269083,184526,27.1,2,Bharatiya Janta Party,BJP,Garhwal,Uttarakhand,53.7,GEN,682024,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM)
185,184,1922270,315784,20.9,7,Bharatiya Janta Party,BJP,Gauhati,Assam,78.6,GEN,1511729,Bijoya Chakravarty
186,185,1986117,280212,23.4,13,Bharatiya Janta Party,BJP,Gautam Buddh Nagar,Uttar Pradesh,60.4,GEN,1199238,Dr.Mahesh Sharma
187,186,1500751,115504,14.3,38,Bharatiya Janta Party,BJP,Gaya,Bihar,53.9,SC,809378,Hari Manjhi
188,187,1610489,260891,19.1,32,All India Trinamool Congress,Other,Ghatal,West Bengal,84.9,GEN,1366709,Adhikari Deepak (DEV)
189,188,2357546,567260,42.3,12,Bharatiya Janta Party,BJP,Ghaziabad,Uttar Pradesh,56.9,GEN,1342320,Vijay Kumar Singh
190,189,1801519,32452,3.3,75,Bharatiya Janta Party,BJP,Ghazipur,Uttar Pradesh,54.8,GEN,986673,Manoj Sinha
191,190,1891113,146015,14,70,Bharatiya Janta Party,BJP,Ghosi,Uttar Pradesh,55,GEN,1039656,Harinarayan Rajbhar
192,191,1515137,40313,4.2,6,Bharatiya Janta Party,BJP,Giridih,Jharkhand,64,GEN,969997,Ravindra Kumar Pandey
193,192,1590628,60682,5.8,3,Bharatiya Janta Party,BJP,Godda,Jharkhand,66,GEN,1049442,Nishikant Dubey
194,193,1710827,160416,18.4,59,Bharatiya Janta Party,BJP,Gonda,Uttar Pradesh,51.1,GEN,873732,Kirti Vardhan Singh
195,194,1652767,286936,31.8,17,Bharatiya Janta Party,BJP,Gopalganj,Bihar,54.7,SC,903583,Janak Ram
196,195,1904498,312783,30.1,64,Bharatiya Janta Party,BJP,Gorakhpur,Uttar Pradesh,54.6,GEN,1040199,Adityanath
197,196,1721990,74733,7.5,5,Indian National Congress,INC,Gulbarga,Karnataka,57.9,SC,997638,Mallikarjun Kharge
198,197,1605619,120792,12.4,4,Indian National Congress,INC,Guna,Madhya Pradesh,60.8,GEN,976629,Jyotiraditya M Scindia
